,Word,Counts
0,In,336
1,the,23641
2,beginning,69
3,God,2031
4,created,32
5,heaven,196
6,and,20668
7,earth,313
8,And,11929
9,was,3577
10,without,339
11,form,20
12,void,16
13,darkness,57
14,upon,2271
15,face,254
16,of,18071
17,deep,42
18,Spirit,114
19,moved,45
20,waters,169
21,said,2187
22,Let,424
23,there,1718
24,be,5306
25,light,149
26,saw,512
27,that,9595
28,it,3684
29,good,463
30,divided,52
31,from,3057
32,called,551
33,Day,2
34,he,7057
35,Night,1
36,evening,32
37,morning,93
38,were,2260
39,first,335
40,day,956
41,a,6086
42,firmament,14
43,in,9224
44,midst,334
45,let,920
46,divide,45
47,made,1249
48,which,3771
49,under,343
50,above,164
51,so,904
52,Heaven,4
53,second,134
54,gathered,245
55,together,235
56,unto,7313
57,one,1502
58,place,380
59,dry,57
60,land,1023
61,appear,40
62,Earth,0
63,gathering,11
64,Seas,0
65,bring,648
66,forth,697
67,grass,33
68,herb,13
69,yielding,5
70,seed,185
71,fruit,141
72,tree,79
73,after,1001
74,his,5912
75,kind,12
76,whose,268
77,is,5282
78,itself,19
79,brought,815
80,third,141
81,lights,6
82,to,9577
83,night,119
84,them,2965
85,for,5636
86,signs,40
87,seasons,0
88,days,514
89,years,273
90,give,723
91,two,659
92,great,824
93,greater,64
94,rule,53
95,lesser,3
96,stars,35
97,also,1375
98,set,639
99,over,839
100,fourth,67
101,abundantly,17
102,moving,5
103,creature,22
104,hath,1815
105,life,182
106,fowl,19
107,may,927
108,fly,20
109,open,97
110,whales,0
111,every,1018
112,living,104
113,moveth,6
114,their,2757
115,winged,2
116,blessed,149
117,saying,95
118,Be,135
119,fruitful,21
120,multiply,34
121,fill,42
122,seas,4
123,fifth,50
124,cattle,64
125,creeping,29
126,thing,351
127,beast,81
128,creepeth,13
129,us,655
130,make,930
131,man,1792
132,our,869
133,image,47
134,likeness,23
135,have,3036
136,dominion,38
137,fish,23
138,sea,144
139,air,15
140,all,4358
141,So,619
142,own,525
143,him,2657
144,male,39
145,female,11
146,replenish,2
147,subdue,8
148,Behold,75
149,I,5973
150,given,465
151,you,993
152,bearing,19
153,shall,6014
154,meat,206
155,wherein,148
156,green,37
157,had,1744
158,behold,121
159,very,246
160,sixth,37
161,Thus,436
162,heavens,64
163,finished,28
164,host,112
165,on,1636
166,seventh,108
167,ended,8
168,work,271
169,rested,18
170,sanctified,49
171,because,946
172,These,221
173,are,2441
174,generations,34
175,when,2352
176,they,5212
177,LORD,3519
178,plant,33
179,field,107
180,before,1602
181,grew,12
182,not,5061
183,caused,92
184,rain,52
185,till,158
186,ground,57
187,But,1539
188,went,1235
189,up,1759
190,mist,3
191,watered,10
192,whole,218
193,formed,28
194,dust,59
195,breathed,2
196,into,1820
197,nostrils,6
198,breath,34
199,became,101
200,soul,276
201,planted,30
202,garden,27
203,eastward,12
204,Eden,9
205,put,813
206,whom,661
207,out,2190
208,grow,28
209,pleasant,50
210,sight,195
211,food,27
212,knowledge,90
213,evil,413
214,river,92
215,water,163
216,thence,78
217,parted,9
218,four,252
219,heads,63
220,The,1809
221,name,587
222,Pison,0
223,compasseth,5
224,Havilah,2
225,where,300
226,gold,136
227,bdellium,1
228,onyx,6
229,stone,101
230,Gihon,0
231,same,283
232,Ethiopia,7
233,Hiddekel,0
234,goeth,123
235,toward,285
236,east,96
237,Assyria,45
238,Euphrates,2
239,took,726
240,dress,9
241,keep,323
242,commanded,365
243,Of,172
244,thou,3377
245,mayest,106
246,freely,10
247,eat,444
248,shalt,1211
249,eatest,3
250,thereof,277
251,surely,191
252,die,116
253,It,235
254,should,677
255,alone,34
256,will,2789
257,an,1524
258,help,87
259,meet,123
260,Adam,17
261,see,445
262,what,578
263,would,394
264,call,166
265,whatsoever,124
266,gave,435
267,names,59
268,but,2289
269,found,346
270,sleep,33
271,fall,187
272,slept,41
273,ribs,1
274,closed,8
275,flesh,203
276,instead,27
277,rib,0
278,taken,277
279,woman,231
280,her,958
281,This,326
282,now,525
283,bone,12
284,my,2952
285,bones,52
286,she,684
287,Woman,0
288,Man,8
289,Therefore,400
290,leave,106
291,father,380
292,mother,115
293,cleave,29
294,wife,159
295,both,332
296,naked,22
297,ashamed,51
298,Now,622
299,serpent,14
300,more,496
301,subtil,3
302,than,424
303,any,821
304,Yea,4
305,Ye,281
306,We,200
307,trees,86
308,neither,709
309,ye,2590
310,touch,43
311,lest,194
312,For,1665
313,doth,177
314,know,643
315,then,727
316,your,1281
317,eyes,267
318,opened,101
319,as,2668
320,gods,83
321,knowing,36
322,desired,43
323,wise,173
324,did,842
325,husband,55
326,with,4820
327,knew,161
328,sewed,2
